Country,patents_number,Year,ISO,Total Deaths,total_affected,total_damage,Tertiary,GDP,Population,FDI,consumption
poland,27.0,2011,pol,26.0,0.0,0.0,75.8021011352539,13776.389395702001,38063255.0,18309000000.0,79.6832086691842
poland,24.5,2012,pol,290.0,370.0,7521.0,75.0382919311523,13010.75691859833,38063164.0,7180000000.0,79.7424753788431
poland,51.0,2013,pol,29.0,53.0,0.0,73.317268371582,13558.342561347763,38040196.0,1029000000.0,79.5167367430493
poland,43.8333,2014,pol,89.0,1.0,0.0,70.2389678955078,14181.950180309888,38011735.0,20455000000.0,78.6165315732774
poland,72.5,2015,pol,78.0,1217.0,0.0,69.3731994628906,12560.051419682035,37986412.0,15598000000.0,76.9346294713676
poland,46.5,2016,pol,23.0,3.0,0.0,69.8503799438477,12378.811764073547,37970087.0,17750000000.0,76.780928175782
poland,39.6667,2017,pol,6.0,5844.0,328330.0,70.6174621582031,13815.499946253982,37974826.0,11999000000.0,77.148659921303
poland,40.3333,2018,pol,9.0,0.0,0.0,71.0217437744141,15504.508937214512,37974750.0,19204000000.0,76.5043691388597
poland,25.5,2019,pol,4.0,157.0,0.0,70.9065017700195,15700.0135796738,37965475.0,17619000000.0,75.8015321880085
poland,38.5,2020,pol,3.0,396.0,0.0,70.9730377197266,15816.820402273377,37899070.0,19151000000.0,75.5830587011351
poland,33.0,2021,pol,4.0,2015.0,0.0,70.9335021972656,17999.83226829846,37747124.0,37113000000.0,74.9330559548087
portugal,0.0,1977,prt,132.0,32.0,0.0,12.5503301620483,2267.3710031947844,9455675.0,57914757.951664,83.492812386615
portugal,0.0,1979,prt,23.0,45220.0,129441.0,11.5674295425415,2755.624617700803,9661265.0,78304050.81546,78.9948472652575
portugal,0.0,1981,prt,30.0,900.0,0.0,11.3914203643799,3245.975213677476,9851362.0,174486586.144107,82.3485712166946
portugal,0.0,1983,prt,19.0,2000.0,558278.0,12.0066299438477,2735.491065800466,9957865.0,146837896.831381,82.2008923224119
portugal,0.0,1985,prt,143.0,145.0,258465.0,13.7802696228027,2705.1930019731712,10023613.0,274036105.15449,81.0670004957535
portugal,0.0,1986,prt,37.0,50.0,0.0,12.7903099060059,3861.9484333688047,10032734.0,238151215.917245,78.1292179686559
portugal,0.0,1987,prt,19.0,0.0,0.0,16.1415100097656,4803.86609546941,10030031.0,465868832.532615,77.191199682487
portugal,0.5,1990,prt,15.0,37.0,0.0,19.779109954834,7884.617987563318,9983218.0,2609986420.64142,78.936526057919
portugal,0.0,1991,prt,26.0,0.0,0.0,23.173469543457,8958.985333024697,9960235.0,2448454130.74956,81.6213347539377
portugal,0.0,1992,prt,56.0,90.0,0.0,23.5444793701172,10810.566507962558,9952494.0,1873428553.39103,82.612161490203
portugal,2.0,1996,prt,10.0,3050.0,24256.0,38.6572494506836,12185.091401062937,10063945.0,1571447864.59409,82.7045237636745
portugal,18.0,2015,prt,1.0,0.0,0.0,61.8582000732422,19250.106537685195,10358076.0,1270014232.93167,83.4053415086872
portugal,27.65,2016,prt,4.0,1361.0,191439.0,63.2655715942383,19991.97248788107,10325452.0,7354810293.04951,83.0200578625714
portugal,32.75,2017,prt,109.0,3475.0,873954.0,64.1698226928711,21490.42986310416,10300300.0,10683844360.599,81.7638827314765
