Country,Patents number,Year,ISO,GDP,Population,Patent per Capita,Disaster Type,Total Deaths,Total Affected,"Total Damage, Adjusted ('000 US$)",after chock,is Germany,After Chock Gemrany
germany,2501.7917,2009,deu,41650.36782971622,81902307.0,3.054604676764478e-05,extreme temperature,14.0,,,1,1,1
germany,2887.2774,2010,deu,41572.45594815173,81776930.0,3.5306747269676175e-05,storm,4.0,,1342112.0,1,1,1
germany,2887.2774,2010,deu,41572.45594815173,81776930.0,3.5306747269676175e-05,flood,3.0,,,1,1,1
germany,2887.2774,2010,deu,41572.45594815173,81776930.0,3.5306747269676175e-05,extreme temperature,1.0,,,1,1,1
germany,2887.2774,2010,deu,41572.45594815173,81776930.0,3.5306747269676175e-05,storm,,,,1,1,1
germany,3244.5833,2011,deu,46705.895796335666,80274983.0,4.041836172048769e-05,flood,4.0,,,1,1,1
germany,3368.7278,2012,deu,43855.854465861754,80425823.0,4.18861464432885e-05,extreme temperature,4.0,,,1,1,1
germany,3368.7278,2012,deu,43855.854465861754,80425823.0,4.18861464432885e-05,extreme temperature,2.0,,,1,1,1
germany,3002.5476,2013,deu,46298.92291773445,80645605.0,3.723138539291757e-05,flood,4.0,6350.0,16205764.0,1,1,1
germany,3002.5476,2013,deu,46298.92291773445,80645605.0,3.723138539291757e-05,storm,7.0,2.0,,1,1,1
germany,3002.5476,2013,deu,46298.92291773445,80645605.0,3.723138539291757e-05,storm,,,,1,1,1
germany,3002.5476,2013,deu,46298.92291773445,80645605.0,3.723138539291757e-05,storm,,,6030052.0,1,1,1
germany,2825.6679,2014,deu,48023.86998454547,80982500.0,3.4892327354675394e-05,storm,6.0,,,1,1,1
germany,2825.6679,2014,deu,48023.86998454547,80982500.0,3.4892327354675394e-05,storm,2.0,1.0,494483.0,1,1,1
germany,2645.1595,2016,deu,42136.12079080027,82348669.0,3.212146027521101e-05,flood,7.0,,2438717.0,1,1,1
germany,2835.919,2017,deu,44652.58917227226,82657002.0,3.430948294011438e-05,flood,,600.0,,1,1,1
germany,2835.919,2017,deu,44652.58917227226,82657002.0,3.430948294011438e-05,storm,3.0,24.0,189834.0,1,1,1
germany,2835.919,2017,deu,44652.58917227226,82657002.0,3.430948294011438e-05,storm,2.0,,883506.0,1,1,1
germany,2914.5929,2018,deu,47939.27828844958,82905782.0,3.5155484089155566e-05,storm,5.0,12.0,685844.0,1,1,1
